;;;COD. ARTIC.;NOMBRE;;STOCK;;;;LISTA 1;;LISTA 2;;LISTA 3;;LISTA 4;CATEGORIA;;;;;;;;;;;;;
56;;56;158;CARTUCHO EPSON 296 AMARILLO;;10,000;10,5;415,80;65,00;758,11;50,00;689,19;30,00;597,32;30,00;597,32;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
57;;57;159;BOTELLA EPSON 664 NEGRO;;210,000;21;997,60;50,00;1810,64;40,00;1689,93;30,00;1569,22;20,00;1448,52;CARTUCHO TINTA;;;;1;8,60;0,00;1207,10;0,00;1207,10;1;1;1;0
58;;58;160;BOTELLA EPSON 664 AMARILLO;;150,000;21;997,60;50,00;1810,64;40,00;1689,93;30,00;1569,22;20,00;1448,52;CARTUCHO TINTA;;;;1;8,60;0,00;1207,10;0,00;1207,10;1;1;1;0
59;;59;161;BOTELLA HP GT53 NEGRA 90ML;;0,0000;21;928,00;70,00;1908,90;50,00;1684,32;30,00;1459,74;100,00;2245,76;CARTUCHO TINTA;;;;1;8,00;0,00;1122,88;0,00;1122,88;1;0;1;0
60;;60;162;BOTELLA EPSON 673 CYAN;;20,000;21;366,02;65,00;730,76;50,00;664,32;30,00;575,76;30,00;575,76;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
61;;61;163;CARTUCHO ALTER. EPSON 135;;110,000;10,5;116,00;70,00;217,91;60,00;205,09;30,00;166,63;100,00;256,36;CARTUCHO TINTA;;;;1;1,00;0,00;128,18;0,00;128,18;1;1;1;0
62;;62;164;CARTUCHO ALTER. EPSON 133 AMARILLO;;20,000;10,5;116,00;70,00;217,91;60,00;205,09;50,00;192,27;30,00;166,63;CARTUCHO TINTA;;;;1;1,00;0,00;128,18;0,00;128,18;1;1;1;0
63;;63;165;CARTUCHO ALTER. EPSON 117 NEGRO;;70,000;10,5;116,00;70,00;217,91;60,00;205,09;30,00;166,63;100,00;256,36;CARTUCHO TINTA;;;;1;1,00;0,00;128,18;0,00;128,18;1;1;1;0
64;;64;166;CARTUCHO ALTER. EPSON 73 NEGRO;;100,000;10,5;116,00;70,00;217,91;60,00;205,09;50,00;192,27;30,00;166,63;CARTUCHO TINTA;;;;1;1,00;0,00;128,18;0,00;128,18;1;1;1;0
65;;65;167;CARTUCHO ALTER. EPSON 197 XL N;;0,0000;10,5;232,00;70,00;435,81;60,00;410,18;50,00;384,54;30,00;333,27;CARTUCHO TINTA;;;;1;2,00;0,00;256,36;0,00;256,36;1;1;1;0
66;;66;168;CARTUCHO ALTER. HP 21 XL;;10,000;10,5;986,00;70,00;1852,20;60,00;1743,25;50,00;1634,30;30,00;1416,39;CARTUCHO TINTA;;;;1;8,50;0,00;1089,53;0,00;1089,53;1;1;1;0
67;;67;169;CARTUCHO ALTER. HP 22 XL;;50,000;10,5;1508,00;70,00;2832,78;60,00;2666,14;30,00;2166,24;100,00;3332,68;CARTUCHO TINTA;;;;1;13,00;0,00;1666,34;0,00;1666,34;1;1;1;0
68;;68;170;CARTUCHO ALTER. HP 60 XL NEGRO;;70,000;10,5;1334,00;70,00;2505,92;60,00;2358,51;50,00;2211,11;30,00;1916,29;CARTUCHO TINTA;;;;1;11,50;0,00;1474,07;0,00;1474,07;1;1;1;0
69;;69;171;CARTUCHO ALTER. EPSON 195/196 XL AMARILLO ;;110,000;10,5;232,00;70,00;435,81;60,00;410,18;50,00;384,54;30,00;333,27;CARTUCHO TINTA;;;;1;2,00;0,00;256,36;0,00;256,36;1;1;1;0
70;;70;172;CARTUCHO ALTER. HP 920 XL NEGRO;;50,000;10,5;290,00;70,00;544,77;60,00;512,72;30,00;416,59;20,00;384,54;CARTUCHO TINTA;;;;1;2,50;0,00;320,45;0,00;320,45;1;0;1;0
72;;72;174;TINTA ALTER. EPSON 250ML NEGRO;;70,000;21;348,00;70,00;715,84;50,00;631,62;30,00;547,40;100,00;842,16;CARTUCHO TINTA;;;;1;3,00;0,00;421,08;0,00;421,08;1;1;1;0
73;;73;175;TINTA ALTER. EPSON 1L NEGRO;;90,000;21;1160,00;70,00;2386,12;60,00;2245,76;50,00;2105,40;30,00;1824,68;CARTUCHO TINTA;;;;1;10,00;0,00;1403,60;0,00;1403,60;1;1;1;0
74;;74;176;LED VERBATIN CLASSIC BULB E27 5W/40W CALIDO;;100,000;10,5;36,30;65,00;66,18;50,00;60,17;30,00;52,14;100,00;80,22;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
76;;76;178;LED VERBATIN  CLASSIC BULB E27 9W/60W CALIDA;;80,000;10,5;43,56;65,00;79,42;50,00;72,20;30,00;62,57;100,00;96,27;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
78;;78;180;LED VERBATIN CLASSIC BULB E27 11W/75W CALIDA;;60,000;10,5;50,82;65,00;92,66;50,00;84,23;30,00;73,00;100,00;112,31;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
79;;79;181;LED VERBATIN CLASSIC BULB E27 14W/100W CALIDA;;0,0000;10,5;72,60;65,00;132,37;50,00;120,33;30,00;104,29;100,00;160,45;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
80;;80;182;LED VERBATIN CLASSIC GOTA E27 4,5W-30W 2700K CALID;;40,000;10,5;50,82;65,00;92,66;50,00;84,24;30,00;73,00;100,00;112,31;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
81;;81;183;LED VERBATIN GLOBO E27 9,5W-60W L806 CALIDA;;60,000;10,5;108,90;65,00;198,55;50,00;180,50;30,00;156,43;100,00;240,67;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
82;;82;184;LED VERBATIN  DICROICA VGU10 4,5W/50W CALIDA;;110,000;10,5;50,82;65,00;92,66;50,00;84,23;30,00;73,00;100,00;112,31;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
83;;83;185;LED VERBATIN DICROICA VGU5.3 12V 4,8W CALIDA;;100,000;10,5;58,08;70,00;109,10;50,00;96,27;30,00;83,43;100,00;128,36;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
84;;84;186;LED VERBATIM VELA E14 4,5W-30W L350 CALIDA;;30,000;10,5;50,82;65,00;92,66;50,00;84,23;30,00;73,00;100,00;112,31;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
85;;85;187;GABINETE SATELLITE GAMING K877 460;;20,000;10,5;6148,00;50,00;10190,31;40,00;9510,96;30,00;8831,60;20,00;8152,25;GABINETE;;;;1;53,00;0,00;6793,54;0,00;6793,54;1;0;1;0
86;;86;188;TIRA DE LUCES LED COLORES 100CM GAMING GABINETE;;40,000;21;1160,00;70,00;2386,12;60,00;2245,76;30,00;1824,68;20,00;1684,32;LED;;;;1;10,00;0,00;1403,60;0,00;1403,60;1;0;1;0
87;;87;189;REFLECTOR LED 50W 220V IP65;;0,0000;10,5;580,00;70,00;1089,53;50,00;961,35;30,00;833,17;100,00;1281,80;LED;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
88;;88;190;TONER ALTER. HP 12A;;350,000;21;464,00;70,00;954,45;60,00;898,30;50,00;842,16;30,00;729,87;CARTUCHO TONER;;;;1;4,00;0,00;561,44;0,00;561,44;1;1;1;0
89;;89;191;TONER ALTER. HP 78A LASERJET P1606;;110,000;21;464,00;70,00;954,45;60,00;898,30;50,00;842,16;30,00;729,87;CARTUCHO TONER;;;;1;4,00;0,00;561,44;0,00;561,44;1;1;1;0
90;;90;192;TONER ALTER. HP 55A LASERJET P3015DN ;;50,000;21;1392,00;70,00;2863,34;60,00;2694,91;50,00;2526,48;30,00;2189,62;CARTUCHO TONER;;;;1;12,00;0,00;1684,32;0,00;1684,32;1;1;1;0
91;;91;193;TONER ALTER. HP 35/36/85A UNIVERSAL;;190,000;21;580,00;70,00;1193,06;60,00;1122,88;50,00;1052,70;30,00;912,34;CARTUCHO TONER;;;;1;5,00;0,00;701,80;0,00;701,80;1;1;1;0
92;;92;194;TONER ALTER. HP 310/350A NEGRO LASERJET 126A;;10,000;21;696,00;70,00;1431,67;60,00;1347,46;50,00;1263,24;30,00;1094,81;CARTUCHO TONER;;;;1;6,00;0,00;842,16;0,00;842,16;1;1;1;0
94;;94;196;TONER ALTER. HP 81A LASERJET ;;80,000;21;1508,00;70,00;3101,96;60,00;2919,49;50,00;2737,02;30,00;2372,08;CARTUCHO TONER;;;;1;13,00;0,00;1824,68;0,00;1824,68;1;1;1;0
95;;95;197;TONER ALTER. HP 79A LASERJET M12/M26A;;270,000;21;580,00;70,00;1193,06;60,00;1122,88;50,00;1052,70;30,00;912,34;CARTUCHO TONER;;;;1;5,00;0,00;701,80;0,00;701,80;1;1;1;0
96;;96;198;TONER ALTER. HP 83A LASERJET M127FN ;;60,000;21;464,00;70,00;954,45;60,00;898,30;50,00;842,16;30,00;729,87;CARTUCHO TONER;;;;1;4,00;0,00;561,44;0,00;561,44;1;1;1;0
97;;97;199;TONER ALTER. HP 51A ;;10,000;21;696,00;70,00;1431,67;60,00;1347,46;50,00;1263,24;30,00;1094,81;CARTUCHO TONER;;;;1;6,00;0,00;842,16;0,00;842,16;1;1;1;0
98;;98;200;TONER ALTER. HP 6511X LASERJET ;;20,000;21;1160,00;70,00;2386,12;60,00;2245,76;50,00;2105,40;30,00;1824,68;CARTUCHO TONER;;;;1;10,00;0,00;1403,60;0,00;1403,60;1;1;1;0
99;;99;201;TONER ALTER. HP 105A SIN CHIP - W1105A;;130,000;21;1044,00;70,00;2147,51;60,00;2021,18;50,00;1894,86;30,00;1642,21;CARTUCHO TONER;;;;1;9,00;0,00;1263,24;0,00;1263,24;1;1;1;0
100;;100;202;TONER ALTER. HP 90X LASERJET M602 ;;40,000;21;1740,00;70,00;3579,18;60,00;3368,64;50,00;3158,10;30,00;2737,02;CARTUCHO TONER;;;;1;15,00;0,00;2105,40;0,00;2105,40;1;1;1;0
101;;101;203;TONER ALTER. HP 17A S/ CHIP LASERJET M102/M1;;10,000;21;696,00;70,00;1431,67;60,00;1347,46;50,00;1263,24;30,00;1094,81;CARTUCHO TONER;;;;1;6,00;0,00;842,16;0,00;842,16;1;1;1;0
103;;103;205;TONER ALTER. SAMSUNG D101S;;230,000;21;870,00;70,00;1789,59;60,00;1684,32;50,00;1579,05;30,00;1368,51;CARTUCHO TONER;;;;1;7,50;0,00;1052,70;0,00;1052,70;1;1;1;0
104;;104;206;TONER ALTER. SAMSUNG 111L ;;0,0000;21;928,00;70,00;1908,90;60,00;1796,61;50,00;1684,32;30,00;1459,74;CARTUCHO TONER;;;;1;8,00;0,00;1122,88;0,00;1122,88;1;1;1;0
105;;105;207;TONER ALTER. SAMSUNG 104 LASER 1665;;30,000;21;1044,00;70,00;2147,51;60,00;2021,18;50,00;1894,86;30,00;1642,21;CARTUCHO TONER;;;;1;9,00;0,00;1263,24;0,00;1263,24;1;1;1;0
106;;106;208;TONER ALTER. BROTHER TN410/450 LASER HL-2130;;200,000;21;580,00;70,00;1193,06;60,00;1122,88;50,00;1052,70;30,00;912,34;CARTUCHO TONER;;;;1;5,00;0,00;701,80;0,00;701,80;1;1;1;0
107;;107;209;TONER ALTER. BROTHER TN1060;;1,320,000;21;464,00;70,00;954,45;60,00;898,30;50,00;842,16;30,00;729,87;CARTUCHO TONER;;;;1;4,00;0,00;561,44;0,00;561,44;1;1;1;0
108;;108;210;TONER ALTER. BROTHER TN650/580 ;;70,000;21;870,00;70,00;1789,59;60,00;1684,32;50,00;1579,05;30,00;1368,51;CARTUCHO TONER;;;;1;7,50;0,00;1052,70;0,00;1052,70;1;1;1;0
109;;109;211;CINTA GTC CITIZEN GSX140/200;;140,000;21;139,20;70,00;286,33;60,00;269,49;50,00;252,65;30,00;218,96;CINTA MATRIZ DE PUNTO;;;;1;1,20;0,00;168,43;0,00;168,43;1;0;1;0
110;;110;212;CINTA GTC EPSON MX80/LX-810;;1,050,000;21;139,20;70,00;286,33;60,00;269,49;50,00;252,65;30,00;218,96;CINTA MATRIZ DE PUNTO;;;;1;1,20;0,00;168,43;0,00;168,43;1;0;1;0
111;;111;213;CINTA GTC EPSON MX100;;60,000;21;127,60;70,00;262,47;60,00;247,03;50,00;231,59;30,00;200,71;CINTA MATRIZ DE PUNTO;;;;1;1,10;0,00;154,40;0,00;154,40;1;0;1;0
112;;112;214;CINTA GTC EPSON LX350;;140,000;21;185,60;70,00;381,78;60,00;359,32;50,00;336,86;30,00;291,95;CINTA MATRIZ DE PUNTO;;;;1;1,60;0,00;224,58;0,00;224,58;1;0;1;0
113;;113;215;CINTA GTC EPSON ERC 30/34/38;;-30,000;21;104,40;70,00;214,75;60,00;202,12;50,00;189,49;30,00;164,22;CINTA MATRIZ DE PUNTO;;;;1;0,90;0,00;126,32;0,00;126,32;1;0;1;0
114;;114;216;CINTA GTC OKIDATA 182 (HASAR SMH/P-340F);;1,500,000;21;116,00;70,00;238,61;60,00;224,58;50,00;210,54;30,00;182,47;CINTA MATRIZ DE PUNTO;;;;1;1,00;0,00;140,36;0,00;140,36;1;0;1;0
115;;115;217;CINTA GTC STAR SP200 (HASAR SMH/P 715);;350,000;21;116,00;70,00;238,61;60,00;224,58;50,00;210,54;30,00;182,47;CINTA MATRIZ DE PUNTO;;;;1;1,00;0,00;140,36;0,00;140,36;1;0;1;0
116;;116;218;CINTA GTC EPSON FX890;;310,000;21;208,80;70,00;429,50;60,00;404,24;50,00;378,97;30,00;328,44;CINTA MATRIZ DE PUNTO;;;;1;1,80;0,00;252,65;0,00;252,65;1;0;1;0
